Time,Current,Filtered,Current.1
0.346,6.353074e-10,,
0.347,6.349853e-10,,
0.348,6.346633e-10,,
0.349,6.349853e-10,,
0.35,6.349853e-10,,
0.351,6.346633e-10,,
0.352,6.349853e-10,,
0.353,6.353074e-10,,
0.354,6.349853e-10,,
0.355,6.349853e-10,,
0.356,6.353074e-10,,
0.357,6.349853e-10,,
0.358,6.353074e-10,,
0.359,6.359515e-10,,
0.36,6.346633e-10,,
0.361,6.349853e-10,,
0.362,6.346633e-10,,
0.363,6.349853e-10,,
0.364,6.359515e-10,,
0.365,6.343412e-10,,
0.366,6.343412e-10,,
0.367,6.346633e-10,,
0.368,6.349853e-10,,
0.369,6.343412e-10,,
0.37,6.346633e-10,,
0.371,6.346633e-10,,
0.372,6.349853e-10,,
0.373,6.346633e-10,,
0.374,6.343412e-10,,
0.375,6.346633e-10,,
0.376,6.346633e-10,,
0.377,6.346633e-10,,
0.378,6.343412e-10,,
0.379,6.346633e-10,,
0.38,6.346633e-10,,
0.381,6.343412e-10,,
0.382,6.343412e-10,,
0.383,6.343412e-10,,
0.384,6.349853e-10,,
0.385,6.343412e-10,,
0.386,6.349853e-10,,
0.387,6.346633e-10,,
0.388,6.346633e-10,,
0.389,6.349853e-10,,
0.39,6.346633e-10,,
0.391,6.349853e-10,,
0.392,6.346633e-10,,
0.393,6.346633e-10,,
0.394,6.343412e-10,,
0.395,6.343412e-10,,
0.396,6.346633e-10,,
0.397,6.343412e-10,,
0.398,6.343412e-10,,
0.399,6.349853e-10,,
0.4,6.346633e-10,,
0.401,6.349853e-10,,
0.402,6.346633e-10,,
0.403,6.346633e-10,,
0.404,6.349853e-10,,
0.405,6.349853e-10,,
0.406,6.346633e-10,,
0.407,6.343412e-10,,
0.408,6.353074e-10,,
0.409,6.346633e-10,,
0.41,6.343412e-10,,
0.411,6.343412e-10,,
0.412,6.340191e-10,,
0.413,6.346633e-10,,
0.414,6.346633e-10,,
0.415,6.340191e-10,,
0.416,6.340191e-10,,
