Time,Current,Filtered,Current.1,morph_signal,timing_signal
1.172,6.237129e-10,,,6.235626433333333e-10,-5.65829075e-12
1.173,6.243571e-10,,,6.234874966666667e-10,-5.002496300000083e-12
1.174,6.233909e-10,,,6.234230833333334e-10,-5.956940849999904e-12
1.175,6.233909e-10,,,6.233586700000001e-10,-5.94518540000006e-12
1.176,6.24035e-10,,,6.2328352e-10,-5.288685799999999e-12
1.177,6.237129e-10,,,6.232405766666667e-10,-5.59886929999995e-12
1.178,6.224247e-10,,,6.231761633333333e-10,-6.874991750000051e-12
1.179,6.230688e-10,,,6.230902766666666e-10,-6.219136299999924e-12
1.18,6.230688e-10,,,6.230366e-10,-6.206897699999974e-12
1.181,6.230688e-10,,,6.229721866666668e-10,-6.194820150000025e-12
1.182,6.224247e-10,,,6.229292433333333e-10,-6.826681600000014e-12
1.183,6.224247e-10,,,6.228648299999999e-10,-6.81444305000003e-12
1.184,6.227467e-10,,,6.228004166666666e-10,-6.480365500000007e-12
1.185,6.221026e-10,,,6.227467366666667e-10,-7.112065900000099e-12
1.186,6.224247e-10,,,6.226823233333333e-10,-6.777727300000147e-12
1.187,6.224247e-10,,,6.2263938e-10,-6.765488749999956e-12
1.188,6.227467e-10,,,6.225534966666667e-10,-6.4309281e-12
1.189,6.227467e-10,,,6.224568766666666e-10,-6.418528499999912e-12
1.19,6.221026e-10,,,6.224031966666667e-10,-7.049745800000071e-12
1.191,6.227467e-10,,,6.223387833333333e-10,-6.393407199999941e-12
1.192,6.224247e-10,,,6.222529e-10,-6.7033296499999625e-12
1.193,6.217805e-10,,,6.221884866666666e-10,-7.335130050000086e-12
1.194,6.224247e-10,,,6.221562799999999e-10,-6.678369399999992e-12
1.195,6.221026e-10,,,6.220918666666667e-10,-6.987747700000008e-12
1.196,6.221026e-10,,,6.220059833333333e-10,-6.975187050000023e-12
1.197,6.221026e-10,,,6.219308333333334e-10,-6.962465400000106e-12
1.198,6.221026e-10,,,6.218878899999999e-10,-6.949904750000017e-12
1.199,6.217805e-10,,,6.218342100000001e-10,-7.259283050000033e-12
1.2,6.214585e-10,,,6.217697966666667e-10,-7.569044450000054e-12
1.201,6.217805e-10,,,6.217053833333334e-10,-7.234322750000097e-12
1.202,6.211364e-10,,,6.216302333333333e-10,-7.86586209999998e-12
1.203,6.214585e-10,,,6.215550833333334e-10,-7.53087940000006e-12
1.204,6.217805e-10,,,6.214906699999999e-10,-7.1961577e-12
1.205,6.214585e-10,,,6.214155233333334e-10,-7.505113950000052e-12
1.206,6.214585e-10,,,6.213618466666666e-10,-7.492231250000031e-12
1.207,6.217805e-10,,,6.212759633333333e-10,-7.157348550000039e-12
1.208,6.214585e-10,,,6.212222833333333e-10,-7.466787900000024e-12
1.209,6.211364e-10,,,6.211686066666667e-10,-7.776488300000042e-12
1.21,6.204923e-10,,,6.211041933333334e-10,-8.40818870000003e-12
1.211,6.208143e-10,,,6.210612499999999e-10,-8.073467000000073e-12
1.212,6.211364e-10,,,6.210183066666667e-10,-7.738967400000086e-12
1.213,6.208143e-10,,,6.209646299999999e-10,-8.048989850000036e-12
1.214,6.208143e-10,,,6.209109533333333e-10,-8.036590249999948e-12
1.215,6.201702e-10,,,6.208680133333333e-10,-8.668129599999936e-12
1.216,6.201702e-10,,,6.208358066666667e-10,-8.65540789999995e-12
1.217,6.201702e-10,,,6.208036e-10,-8.643008299999965e-12
1.218,6.208143e-10,,,6.207928633333333e-10,-7.98650870000011e-12
1.219,6.204923e-10,,,6.2077139e-10,-8.295948049999992e-12
1.22,6.204923e-10,,,6.207284499999999e-10,-8.283226350000006e-12
1.221,6.201702e-10,,,6.207177133333333e-10,-8.592765700000023e-12
1.222,6.208143e-10,,,6.207069766666667e-10,-7.93610504999996e-12
1.223,6.201702e-10,,,6.206962433333334e-10,-8.56748335000005e-12
1.224,6.204923e-10,,,6.206962433333334e-10,-8.233144799999961e-12
1.225,6.208143e-10,,,6.207177133333333e-10,-7.89890625000011e-12
1.226,6.208143e-10,,,6.2077139e-10,-7.886506600000056e-12
1.227,6.204923e-10,,,6.208143333333334e-10,-8.195945950000041e-12
1.228,6.204923e-10,,,6.208572766666666e-10,-8.183707349999988e-12
1.229,6.204923e-10,,,6.209002199999999e-10,-8.171307699999933e-12
1.23,6.204923e-10,,,6.209539e-10,-8.159069099999984e-12
1.231,6.208143e-10,,,6.2102905e-10,-7.824669449999959e-12
1.232,6.208143e-10,,,6.211149333333333e-10,-7.812108799999973e-12
1.233,6.208143e-10,,,6.212115533333332e-10,-7.799870200000024e-12
1.234,6.204923e-10,,,6.212867033333333e-10,-8.10947060000001e-12
1.235,6.211364e-10,,,6.213833233333333e-10,-7.453132000000087e-12
1.236,6.211364e-10,,,6.214799433333334e-10,-7.441054400000068e-12
1.237,6.214585e-10,,,6.215765633333334e-10,-7.106876799999944e-12
1.238,6.214585e-10,,,6.2166245e-10,-7.094155100000061e-12
1.239,6.217805e-10,,,6.217805399999999e-10,-6.7597555000001055e-12
1.24,6.221026e-10,,,6.218986299999999e-10,-6.425738949999982e-12
1.241,6.221026e-10,,,6.220059866666667e-10,-6.413822450000034e-12
1.242,6.224247e-10,,,6.221133433333334e-10,-6.079483850000082e-12
1.243,6.221026e-10,,,6.222421700000001e-10,-6.3896673000000665e-12
1.244,6.224247e-10,,,6.2236026e-10,-6.055489750000115e-12
1.245,6.224247e-10,,,6.2249982e-10,-6.043412200000063e-12
1.246,6.227467e-10,,,6.2263938e-10,-5.709656700000075e-12
1.247,6.230688e-10,,,6.227682066666665e-10,-5.375640199999918e-12
1.248,6.230688e-10,,,6.2290777e-10,-5.3637236499999004e-12
1.249,6.233909e-10,,,6.230151266666667e-10,-5.029868149999985e-12
1.25,6.233909e-10,,,6.231654233333334e-10,-5.018273699999969e-12
1.251,6.230688e-10,,,6.232620433333333e-10,-5.328296099999953e-12
1.252,6.233909e-10,,,6.233801333333333e-10,-4.994279549999933e-12
1.253,6.237129e-10,,,6.234767533333333e-10,-4.660202000000013e-12
1.254,6.24035e-10,,,6.235733733333333e-10,-4.3263464999998906e-12
1.255,6.24035e-10,,,6.236485233333334e-10,-4.314913099999979e-12
1.256,6.24035e-10,,,6.237344066666666e-10,-4.303640700000102e-12
1.257,6.243571e-10,,,6.238095566666666e-10,-3.970107299999878e-12
1.258,6.24035e-10,,,6.2387397e-10,-4.280612849999968e-12
1.259,6.246791e-10,,,6.239598533333334e-10,-3.625079400000014e-12
1.26,6.246791e-10,,,6.24035e-10,-3.613645950000033e-12
1.261,6.246791e-10,,,6.241208833333334e-10,-3.6022125000000518e-12
1.262,6.250012e-10,,,6.241852966666667e-10,-3.2691621999999675e-12
1.263,6.24035e-10,,,6.2422824e-10,-4.224250850000067e-12
